season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside,world,rank
18,Chris Mepham,wal WAL,Bournemouth,DF,9.4,0,2,0,0,0.21,0,0,,0,324,90,180,52,1,0,1,0,0,4,18,6,11,64,13,850,7,4,0,20,20
19,Chris Mepham,wal WAL,Bournemouth,DF,10.1,1,6,1,16.7,0.59,0.1,0.17,1,0,414,114,231,66,0,1,0,0,0,14,20,12,12,75,12,912,11,5,1,20,20
19,Daniel James,wal WAL,ManU,W,25.4,3,42,19,45.2,1.65,0.75,0.07,0.16,0,586,342,185,40,6,26,3,72,3,15,37,4,4,10,33,2287,14,55,2,20,20
18,David Brooks,wal WAL,Bournemouth,MF,25.1,7,41,21,51.2,1.63,0.84,0.17,0.33,0,649,342,236,56,5,29,7,21,19,22,44,6,22,22,30,2261,15,46,2,20,20
17,Hal Robson-Kanu,wal WAL,WBA,W,9.2,2,21,8,38.1,2.29,0.87,0.1,0.25,0,122,60,45,14,0,8,0,15,0,3,9,2,4,10,21,827,20,25,6,20,20
19,Harry Wilson,wal WAL,Bournemouth,W,18.3,7,54,19,35.2,2.95,1.04,0.13,0.37,12,454,207,169,72,0,15,7,21,20,11,38,3,7,21,31,1646,12,41,1,20,20
17,James Collins,wal WAL,Westham,DF,11.7,1,5,2,40,0.43,0.17,0.2,0.5,0,294,83,141,66,0,2,0,0,0,9,22,9,12,97,13,1050,13,2,0,20,20
17,Joe Allen,wal WAL,Stroke,MF,34.9,2,23,4,17.4,0.66,0.11,0.09,0.5,0,1080,479,465,116,6,32,2,22,9,62,67,9,50,40,36,3139,49,49,0,20,20
19,Neil Taylor,wal WAL,AstonVilla,FB,12.1,0,3,0,0,0.25,0,0,,0,410,194,189,20,0,5,0,9,0,10,38,5,11,32,14,1091,8,6,0,,20
18,Paul Dummett,wal WAL,NewCastle,FB,22.1,0,8,1,12.5,0.36,0.05,0,0,0,639,233,299,101,0,5,1,16,3,16,46,13,28,129,26,1990,11,10,1,20,20
17,Paul Dummett,wal WAL,NewCastle,FB,17.8,0,4,1,25,0.22,0.06,0,0,0,509,200,245,60,0,6,0,20,1,10,51,13,24,86,20,1602,8,12,0,20,20
19,Paul Dummett,wal WAL,NewCastle,FB,13.6,0,1,1,100,0.07,0.07,0,0,0,358,144,166,45,0,4,0,14,0,6,42,10,15,72,16,1228,4,6,0,,20
17,Sam Vokes,wal WAL,Burnely,FW,11.1,4,36,9,25,3.25,0.81,0.11,0.44,0,141,89,42,6,1,7,0,0,0,0,18,4,3,11,30,998,20,17,13,20,20
18,Sam Vokes,wal WAL,Burnely,FW,10.2,3,23,7,30.4,2.26,0.69,0.13,0.43,0,151,98,46,4,0,6,0,1,0,0,7,3,1,16,20,915,14,9,8,20,20
17,Wayne Hennessey,wal WAL,CrystalPal,GK,27,0,0,0,,0,0,,,0,331,25,86,219,0,0,0,0,0,0,0,0,0,0,27,2430,0,2,0,20,20
18,Wayne Hennessey,wal WAL,CrystalPal,GK,17.5,0,0,0,,0,0,,,0,259,18,92,149,0,0,0,0,0,0,0,0,0,0,18,1576,0,1,0,20,20
18,Florent Hadergjonaj,xk KVX,Hudders,FB,20.5,0,6,2,33.3,0.29,0.1,0,0,0,703,326,286,80,0,24,1,68,0,11,46,6,17,30,24,1842,12,19,2,,
17,Florent Hadergjonaj,xk KVX,Hudders,FB,18.6,0,8,3,37.5,0.43,0.16,0,0,0,573,253,215,94,1,25,2,84,3,9,37,9,16,29,23,1674,17,12,4,,
19,Marvelous Nakamba,zw ZIM,AstonVilla,MF,20.4,0,7,1,14.3,0.34,0.05,0,0,0,669,280,292,86,0,11,0,1,0,47,61,11,28,34,29,1836,26,24,0,,
